Product Name,Date of Expiry,Quantity,Quantity Used,Quantity Left,Donated by NGO,Completely used
Organic Cotton Pads,2024-08-12,124,75,49,NGO E,Yes
Organic Cotton Pads,2024-10-26,85,52,33,NGO B,No
Regular Pads,2024-11-19,179,104,75,NGO D,No
Organic Cotton Pads,2024-11-24,113,71,42,NGO B,No
Panty Liners,2024-12-26,73,26,47,NGO B,Yes
Panty Liners,2025-01-09,62,9,53,NGO C,Yes
Super Absorbent Pads,2025-01-26,53,8,45,NGO D,No
Super Absorbent Pads,2025-02-03,50,17,33,NGO B,Yes
Organic Cotton Pads,2025-02-09,187,166,21,NGO C,Yes
Super Absorbent Pads,2025-02-11,66,2,64,NGO C,Yes
Regular Pads,2025-02-17,123,23,100,NGO C,No
Overnight Pads,2025-02-23,81,23,58,NGO C,Yes
Regular Pads,2025-03-16,115,43,72,NGO C,No
Regular Pads,2025-03-26,128,61,67,NGO E,No
Overnight Pads,2025-04-29,198,37,161,NGO D,No
Super Absorbent Pads,2025-05-04,137,122,15,NGO D,No
Panty Liners,2025-05-04,134,42,92,NGO C,No
Panty Liners,2025-05-09,132,1,131,NGO E,Yes
Super Absorbent Pads,2025-06-05,126,39,87,NGO A,Yes
Regular Pads,2025-06-10,69,40,29,NGO B,Yes
Organic Cotton Pads,2025-06-22,78,59,19,NGO A,No
Panty Liners,2025-07-03,155,44,111,NGO E,No
Regular Pads,2025-07-07,189,189,0,NGO B,No
Panty Liners,2025-07-12,140,28,112,NGO A,Yes
Regular Pads,2025-07-26,98,92,6,NGO B,No
Super Absorbent Pads,2025-08-10,93,23,70,NGO C,Yes
Organic Cotton Pads,2025-08-14,71,3,68,NGO B,Yes
Super Absorbent Pads,2025-10-01,77,24,53,NGO A,No
Organic Cotton Pads,2025-10-06,69,19,50,NGO A,No
Regular Pads,2025-10-09,192,13,179,NGO D,No
Regular Pads,2025-11-14,132,76,56,NGO E,Yes
Panty Liners,2025-11-15,91,77,14,NGO D,Yes
Organic Cotton Pads,2025-12-09,164,139,25,NGO A,No
Overnight Pads,2025-12-12,200,159,41,NGO A,Yes
Super Absorbent Pads,2025-12-21,156,42,114,NGO B,No
Organic Cotton Pads,2026-03-06,158,91,67,NGO B,No
Regular Pads,2026-03-14,131,45,86,NGO B,Yes
Regular Pads,2026-03-18,100,81,19,NGO B,Yes
Super Absorbent Pads,2026-03-28,153,116,37,NGO C,No
Panty Liners,2026-04-12,125,86,39,NGO A,Yes
Panty Liners,2026-05-08,137,133,4,NGO C,No
Overnight Pads,2026-05-10,148,84,64,NGO D,Yes
Regular Pads,2026-05-16,177,14,163,NGO D,No
Panty Liners,2026-05-24,67,47,20,NGO C,Yes
Organic Cotton Pads,2026-05-27,77,6,71,NGO A,No
Super Absorbent Pads,2026-06-01,182,152,30,NGO C,No
Organic Cotton Pads,2026-06-07,96,56,40,NGO E,Yes
Panty Liners,2026-07-08,153,114,39,NGO A,No
Overnight Pads,2026-07-08,100,89,11,NGO A,No
Super Absorbent Pads,2026-07-09,147,72,75,NGO E,No
